,Código municipio,2009_1,2009_2,2009_3,2009_4,2010_5,2009_6,2009_7,2009_8,2009_9,2009_10,2009_11,2009_12,2011_13,2009_14,2009_15,2009_16,2009_17,2001_18,2009_19,2009_20,2009_21,2005_22,2005_23,2009_24,2009_25,2005_26,2011_27,2009_28,2009_29,2009_30,2009_31,2009_32,2012,2009_34,2009_35,2009_36,2009_37,2009_38,2009_39,2009_40,2009_41,2009_42,2009_43,2010_44,2010_45,2010_46,2011_47,2009_48,2009_48.1,2011_50,2009_51,2009_52,2009_53,2009_54,2005_55,2005,2006_57,2009_58,2009_59,2009_60,2009_61,2006_62,2007,2009_64,2001_65,2010,2009
0,48001,43.75,8.65,0.0,185.36,33.4,0.0,4.55,0.0,2.0,96.44,0.0,6.04,145.52,11.71,7.3,201.11,43.75,88.98,23.68,2.74,2.75,212.71,44.28,100.0,3.41,43.85,73.8,49.69,46.73,13.71,16.76,19.97,4.83,63.27,6.06,13.95,289.99,10.94,289.99,0.73,20.38,9.44,0.0,19.51,56.11,16.89,94.05,4.16,7260.0,66.02,0.55,185.36,4.55,2.41,1.16,55.01,90.64,8.75,10.4,12.9,6.04,0.88,12.94,5.86,11.24,7.6,8.5
1,20001,25.0,0.0,0.0,269.94,37.6,0.0,0.0,0.0,3.0,96.71,0.0,3.12,154.65,0.0,0.0,28.21,25.0,100.0,32.14,0.0,0.0,261.93,49.18,0.0,7.69,52.75,71.6,43.61,69.89,18.35,16.67,4.17,35.0,79.17,15.82,18.67,585.88,0.0,585.88,0.9,12.27,0.0,0.0,14.75,43.53,11.51,100.0,1.9,316.0,74.44,0.0,269.94,9.49,0.26,0.18,50.36,110.75,103.45,92.02,18.69,3.12,6.53,10.73,20.61,31.4,22.98,14.93
2,48002,30.77,9.6,0.0,250.51,37.0,0.0,2.63,9.77,3.0,98.08,0.0,0.41,184.19,9.12,4.56,595.49,30.77,94.7,23.48,3.09,3.11,480.39,92.71,88.17,3.4,42.44,67.2,47.9,51.52,15.68,21.74,13.04,2.39,65.22,6.22,13.99,240.1,7.2,240.1,0.76,4.52,0.0,61.39,20.98,55.96,16.29,84.89,1.63,9647.0,80.36,1.34,250.51,0.0,10.19,2.16,38.46,76.86,8.6,14.6,9.29,0.41,0.82,8.6,8.15,10.63,21.09,18.13
3,20002,80.0,36.14,0.0,326.34,23.4,46.62,17.99,0.0,1.0,96.71,0.0,-2.41,294.39,2.49,4.99,57.29,80.0,100.0,32.3,0.0,0.0,301.7,39.12,0.0,5.0,52.75,66.1,91.57,55.43,14.46,16.53,26.45,6.56,57.02,17.46,19.2,-900.8,0.0,-900.8,1.79,9.32,0.0,0.0,16.31,53.21,17.38,100.0,2.99,401.0,81.7,2.33,326.34,17.46,4.54,3.71,66.71,108.36,5.03,37.3,12.05,-2.41,1.59,8.34,29.35,14.69,8.29,24.1
4,20016,33.33,15.63,0.0,114.6,28.5,0.0,5.03,4.98,3.0,98.9,27.75,4.03,156.28,3.06,3.06,34.96,33.33,98.11,38.45,4.98,5.11,331.52,64.61,83.33,4.82,28.6,73.4,43.87,59.58,15.63,21.78,26.22,32.07,52.0,16.85,17.06,219.79,4.98,219.79,0.72,365.22,0.0,59.41,13.06,51.44,16.77,100.0,4.9,1958.0,75.42,0.5,114.6,10.73,0.79,0.73,51.96,109.75,4.49,9.97,15.63,4.03,3.98,20.39,17.74,17.67,11.07,14.97
5,20003,20.0,8.71,0.0,338.98,39.1,0.0,10.46,0.0,3.0,98.9,0.0,1.45,350.9,10.46,4.48,102.92,20.0,96.88,12.77,14.12,0.0,198.13,24.91,0.0,6.06,28.8,73.4,21.77,47.36,11.81,10.71,23.21,21.33,66.07,7.47,15.99,632.18,0.0,632.18,0.8,81.92,0.0,0.0,17.05,46.39,12.46,100.0,8.22,669.0,75.94,1.41,338.98,8.97,3.78,4.62,35.08,110.61,4.88,16.95,7.26,1.45,4.53,22.03,22.53,23.08,23.12,40.98
6,48911,66.67,13.39,0.0,64.44,44.1,0.0,0.0,88.89,3.0,98.9,0.0,2.23,195.31,0.0,0.0,60.96,66.67,100.0,2.94,0.0,0.0,249.98,33.18,0.0,0.0,41.51,72.1,22.32,63.0,20.67,25.0,15.0,33.33,60.0,6.74,13.71,924.1,0.0,924.1,0.55,42.22,0.0,0.0,18.36,61.04,27.05,100.0,1.57,445.0,75.12,0.0,64.44,2.25,2.21,4.25,54.25,128.19,9.32,33.33,8.93,2.23,10.03,15.05,6.97,12.43,24.0,32.79
7,20004,66.67,12.74,0.0,215.87,40.4,31.75,18.21,0.0,1.0,96.71,0.0,12.74,196.52,0.0,0.0,24.19,66.67,98.86,57.79,0.0,0.0,359.25,63.51,0.0,14.29,52.75,71.8,12.74,59.18,18.59,17.14,22.86,27.91,60.0,12.82,15.06,-412.77,0.0,-412.77,1.07,34.92,0.0,0.0,15.27,49.82,19.64,91.67,1.6,312.0,84.13,0.0,215.87,0.0,0.43,0.39,64.19,121.94,1.79,3.17,19.11,12.74,3.93,6.95,7.96,34.07,22.87,19.61
8,20005,59.64,23.54,0.0,360.57,45.5,11.43,6.1,14.29,1.0,96.71,0.0,3.44,200.02,11.54,4.04,222.18,60.61,95.0,59.58,5.71,11.54,301.24,43.29,0.0,3.23,52.75,59.9,33.87,57.69,17.6,22.73,15.91,5.8,61.36,5.77,15.0,134.31,11.43,134.31,0.62,0.0,0.0,0.0,17.47,53.51,17.14,100.0,6.35,1733.0,84.16,0.57,360.57,-1.15,1.46,0.13,73.85,88.82,19.96,36.58,16.07,3.44,1.55,5.86,7.37,24.61,25.27,7.25
9,1001,75.0,3.75,0.0,128.96,23.9,0.0,3.28,0.0,2.0,99.73,0.0,7.5,145.03,5.73,2.29,131.66,75.0,91.3,37.46,3.68,0.0,269.73,13.71,100.0,4.4,21.02,78.5,19.12,48.44,8.55,17.65,13.9,5.52,68.45,4.2,20.73,66.55,3.68,66.55,0.66,8.84,0.0,103.31,20.36,65.19,22.59,96.53,6.22,2620.0,82.56,0.37,128.96,11.83,6.57,57.99,33.87,111.83,9.94,47.9,12.37,7.5,4.55,15.25,97.14,14.92,9.81,8.85
